path	type	uid	gid	mode	ino	nlink	size	sha256
/	directory	0	0	755	2	21	4096	-
/usr	directory	0	0	755	193	12	4096	-
/usr/lib	directory	0	0	755	308	53	4096	-
/usr/lib/agent-governance-suite	directory	0	0	755	516801	3	4096	-
/usr/lib/agent-governance-suite/protected-runtime	directory	0	0	755	516802	4	4096	-
.	directory	0	0	755	516848	4	4096	-
./bin	directory	0	0	755	516918	2	4096	-
./bin/node	regular file	0	0	555	516919	1	126595440	7fde7b8afa198da66257f42ee2001d874c7355631e6d1579a5fb5ef1f246df4c
./package	directory	0	0	755	516920	7	4096	-
./package/.codex-plugin	directory	0	0	755	516921	2	4096	-
./package/.codex-plugin/plugin.json	regular file	0	0	444	516922	1	1605	4ea1b39183abbc1c8f55e0cc752bd9eb5c1484b3df2cbf096082d9f80e75caf8
./package/.mcp.json	regular file	0	0	444	516923	1	168	47773149e144e64ec56e4d16ed8c5afd188c3d951b44da997e475b9bcc405862
./package/contracts	directory	0	0	755	516924	2	4096	-
./package/contracts/acknowledge-session-messages-request.v1.schema.json	regular file	0	0	444	516925	1	881	7da63d13eccfc731e6ba75ea717c806b3ab542a486d3357795bac0aa20f0fcfd
./package/contracts/api-result.v1.schema.json	regular file	0	0	444	516926	1	1219	18aadedaaa4c465771316a1889c0affea108344ce96ccbc615d35830869585c4
./package/contracts/artifact-ref.v1.schema.json	regular file	0	0	444	516927	1	976	4ce69d3eee792fc5575f715c177794a38b20f8176b8951b532938c578578228b
./package/contracts/attempt-lease.v1.schema.json	regular file	0	0	444	516928	1	1827	d3f9c2ab46cdaf028c38933ab8ef1d894fefadb22b9d9f1a57ff40b59dd5792c
./package/contracts/attempt-outcome.v1.schema.json	regular file	0	0	444	516929	1	1410	ea7ed1ba82d56885dd0395cac21d5db9645b2ac92587596e126b510236120d7e
./package/contracts/attempt-proposal.v1.schema.json	regular file	0	0	444	516930	1	1750	8b0390cc58e2a302db18542b30764f4fc6d69db86649c9ab25f79fef01878b97
./package/contracts/checkpoint-context-request.v1.schema.json	regular file	0	0	444	516931	1	2114	67ed949d981463c3ade41aaa9e1865af3c14251e201072549032d1ccda07c12f
./package/contracts/checkpoint-delta.v1.schema.json	regular file	0	0	444	516932	1	5802	8f47718fd5df307a660f105dc88686f8fead42a6c459ad9b309d8ceb49ae911c
./package/contracts/convergence-frame.v1.schema.json	regular file	0	0	444	516933	1	2441	5e08011cb89fed1776a7b7d78af904ec5ddeb05c93aa3f1d4ea3c03ecfbfb7f4
./package/contracts/convergence-review.v1.schema.json	regular file	0	0	444	516934	1	2291	6eb3657e24798f315c64a8cc974c7d9a4637eed1bfe122f3011cb76f1e59099f
./package/contracts/convergence-root-handle.v1.schema.json	regular file	0	0	444	516935	1	1152	2e66ad7bac64f470c1c880cb059d7c71aad470cc9f70fb0aa2975182f779970a
